judul,harga,lokasi,kamar_tidur,kamar_mandi,carport,luas_tanah,luas_bangunan
Full Furnished,"Rp 1,05 Miliar","Rp 1,05 Miliar",2,1,,94 m²,60 m²
Rp 3 Miliar,Rp 3 Miliar,"Gading Serpong, Tangerang",3,1,,198 m²,98 m²
Full Furnished,"Rp 8,5 Miliar","Rp 8,5 Miliar",4,3,,288 m²,400 m²
Full Furnished,"Rp 3,5 Miliar","Rp 3,5 Miliar",3,2,,133 m²,250 m²
Full Furnished,"Rp 1,29 Miliar","Rp 1,29 Miliar",,,,50 m²,68 m²
Dekat Akses Transportasi,"Rp 1,3 Miliar","Rp 1,3 Miliar",3,1,,60 m²,80 m²
Dekat Akses Transportasi,"Rp 1,3 Miliar","Rp 1,3 Miliar",3,1,,100 m²,69 m²
Siap Huni,Rp 2 Miliar,"Alam Sutera, Tangerang",3,1,,102 m²,75 m²
Siap Huni,"Rp 1,3 Miliar","Rp 1,3 Miliar",3,2,,100 m²,69 m²
Dekat Akses Transportasi,"Rp 1,3 Miliar","Rp 1,3 Miliar",3,2,,70 m²,69 m²
Full Furnished,"Rp 4,35 Miliar","Rp 4,35 Miliar",4,1,,205 m²,250 m²
Full Furnished,"Rp 2,04 Miliar","Rp 2,04 Miliar",,,,120 m²,180 m²
Full Furnished,"Rp 1,66 Miliar","Rp 1,66 Miliar",,,,144 m²,150 m²
Full Furnished,"Rp 3,42 Miliar","Rp 3,42 Miliar",,,,139 m²,211 m²
Full Furnished,"Rp 1,28 Miliar","Rp 1,28 Miliar",,,,90 m²,40 m²
Full Furnished,"Rp 2,03 Miliar","Rp 2,03 Miliar",3,1,,77 m²,70 m²
Full Furnished,"Rp 2,47 Miliar","Rp 2,47 Miliar",,,,176 m²,130 m²
Full Furnished,"Rp 2,25 Miliar","Rp 2,25 Miliar",,,,105 m²,69 m²
Full Furnished,Rp 720 Juta,"BSD, Tangerang",,,,64 m²,60 m²
Full Furnished,"Rp 1,43 Miliar","Rp 1,43 Miliar",,,,96 m²,78 m²
Dekat Pusat Perbelanjaan,"Rp 5,6 Miliar","Rp 5,6 Miliar",4,4,,379 m²,160 m²
Siap Huni,"Rp 1,44 Miliar","Rp 1,44 Miliar",4,1,,96 m²,110 m²
Full Furnished,Rp 990 Juta,"Gading Serpong, Tangerang",,,,40 m²,49 m²
Dekat Akses Transportasi,"Rp 3,36 Miliar","Rp 3,36 Miliar",,,,253 m²,124 m²
Siap Huni,"Rp 1,61 Miliar","Rp 1,61 Miliar",,,,141 m²,120 m²
Dekat Akses Transportasi,"Rp 2,2 Miliar","Rp 2,2 Miliar",,,,60 m²,89 m²
Full Furnished,"Rp 1,02 Miliar","Rp 1,02 Miliar",2,1,,83 m²,36 m²
Full Furnished,Rp 970 Juta,"BSD City, Tangerang",,,,72 m²,72 m²
Full Furnished,"Rp 2,03 Miliar","Rp 2,03 Miliar",,,,77 m²,70 m²
Full Furnished,"Rp 3,8 Miliar","Rp 3,8 Miliar",3,1,,180 m²,200 m²
Full Furnished,Rp 1 Miliar,"BSD, Tangerang",,,,84 m²,45 m²
Full Furnished,"Rp 5,35 Miliar","Rp 5,35 Miliar",,,,224 m²,260 m²
Dekat Akses Transportasi,"Rp 3,08 Miliar","Rp 3,08 Miliar",,,,185 m²,181 m²
Full Furnished,"Rp 1,37 Miliar","Rp 1,37 Miliar",,,,78 m²,144 m²
Full Furnished,"Rp 3,25 Miliar","Rp 3,25 Miliar",4,2,,112 m²,146 m²
Siap Huni,"Rp 1,82 Miliar","Rp 1,82 Miliar",,,,97 m²,122 m²
Full Furnished,"Rp 3,11 Miliar","Rp 3,11 Miliar",,,,167 m²,60 m²
Siap Huni,"Rp 2,82 Miliar","Rp 2,82 Miliar",4,1,,84 m²,144 m²
Full Furnished,Rp 870 Juta,"Gading Serpong, Tangerang",,,,105 m²,165 m²
Full Furnished,"Rp 1,18 Miliar","Rp 1,18 Miliar",,,,96 m²,120 m²
Full Furnished,"Rp 2,68 Miliar","Rp 2,68 Miliar",,,,162 m²,200 m²
Full Furnished,"Rp 2,14 Miliar","Rp 2,14 Miliar",,,,102 m²,101 m²
Full Furnished,"Rp 4,82 Miliar","Rp 4,82 Miliar",,,,275 m²,208 m²
Full Furnished,"Rp 2,25 Miliar","Rp 2,25 Miliar",,,,120 m²,150 m²
Full Furnished,"Rp 1,29 Miliar","Rp 1,29 Miliar",,,,82 m²,85 m²
Full Furnished,"Rp 3,8 Miliar","Rp 3,8 Miliar",3,1,,180 m²,200 m²
Full Furnished,Rp 740 Juta,"Rumah 15 Mnt Ke Stasiun Cisauk, Tangerang Ready Furnished Harga Nego J19418",,,,50 m²,24 m²
Full Furnished,Rp 1 Miliar,"BSD City, Tangerang",,,,72 m²,36 m²
Full Furnished,"Rp 1,72 Miliar","Rp 1,72 Miliar",,,,120 m²,200 m²
Full Furnished,"Rp 1,24 Miliar","Rp 1,24 Miliar",,,,60 m²,52 m²
Full Furnished,Rp 870 Juta,"BSD, Tangerang",,,,60 m²,36 m²
Dekat Akses Transportasi,"Rp 1,08 Miliar","Rp 1,08 Miliar",,,,72 m²,42 m²
Full Furnished,Rp 530 Juta,"BSD, Tangerang",,,,78 m²,70 m²
Full Furnished,Rp 980 Juta,"BSD, Tangerang",,,,84 m²,59 m²
Full Furnished,"Rp 1,14 Miliar","Rp 1,14 Miliar",,,,98 m²,66 m²
Full Furnished,"Rp 1,35 Miliar","Rp 1,35 Miliar",,,,125 m²,112 m²
Full Furnished,"Rp 2,25 Miliar","Rp 2,25 Miliar",,,,174 m²,160 m²
Full Furnished,Rp 970 Juta,"Bintaro, Tangerang Selatan",,,,72 m²,170 m²
Full Furnished,"Rp 1,36 Miliar","Rp 1,36 Miliar",,,,72 m²,65 m²
Full Furnished,"Rp 3,5 Miliar","Rp 3,5 Miliar",,,,170 m²,200 m²
Full Furnished,Rp 960 Juta,"Gading Serpong, Tangerang",,,,60 m²,60 m²
Full Furnished,"Rp 2,15 Miliar","Rp 2,15 Miliar",,,,153 m²,300 m²
Full Furnished,"Rp 2,57 Miliar","Rp 2,57 Miliar",,,,120 m²,126 m²
Full Furnished,"Rp 2,12 Miliar","Rp 2,12 Miliar",,,,216 m²,140 m²
Full Furnished,"Rp 1,61 Miliar","Rp 1,61 Miliar",,,,141 m²,120 m²
Siap Huni,"Rp 3,91 Miliar","Rp 3,91 Miliar",,,,162 m²,115 m²
Full Furnished,Rp 920 Juta,"Bintaro, Tangerang Selatan",,,,45 m²,54 m²
Full Furnished,"Rp 3,1 Miliar","Rp 3,1 Miliar",,,,180 m²,250 m²
Full Furnished,"Rp 1,62 Miliar","Rp 1,62 Miliar",,,,72 m²,84 m²
Full Furnished,Rp 460 Juta,"BSD, Tangerang",,,,84 m²,45 m²
Full Furnished,Rp 670 Juta,"BSD, Tangerang",,,,73 m²,91 m²
Full Furnished,"Rp 3,02 Miliar","Rp 3,02 Miliar",,,,120 m²,145 m²
Full Furnished,"Rp 1,25 Miliar","Rp 1,25 Miliar",,,,107 m²,115 m²
Full Furnished,"Rp 1,14 Miliar","Rp 1,14 Miliar",,,,72 m²,55 m²
Full Furnished,"Rp 1,5 Miliar","Rp 1,5 Miliar",,,,90 m²,80 m²
Full Furnished,"Rp 1,34 Miliar","Rp 1,34 Miliar",,,,72 m²,84 m²
Full Furnished,"Rp 1,09 Miliar","Rp 1,09 Miliar",,,,76 m²,50 m²
Full Furnished,Rp 720 Juta,"BSD City, Tangerang",,,,72 m²,40 m²
Full Furnished,"Rp 1,13 Miliar","Rp 1,13 Miliar",,,,60 m²,75 m²
"Rp 2,4 Miliar","Rp 2,4 Miliar","Rp 2,4 Miliar",,,,135 m²,230 m²
"Rp 9,75 Miliar","Rp 9,75 Miliar","Rp 9,75 Miliar",4,2,,369 m²,460 m²
"Rp 2,8 Miliar","Rp 2,8 Miliar","Rp 2,8 Miliar",,,,128 m²,200 m²
Full Furnished,"Rp 3,7 Miliar","Rp 3,7 Miliar",,,,136 m²,140 m²
Full Furnished,"Rp 2,65 Miliar","Rp 2,65 Miliar",3,2,,91 m²,79 m²
"Rp 3,2 Miliar","Rp 3,2 Miliar","Rp 3,2 Miliar",,,,144 m²,176 m²
Siap Huni,"Rp 3,5 Miliar","Rp 3,5 Miliar",4,1,,135 m²,150 m²
Dekat Pusat Perbelanjaan,"Rp 28,5 Miliar","Rp 28,5 Miliar",5,2,,911 m²,1000 m²
Siap Huni,"Rp 4,2 Miliar","Rp 4,2 Miliar",4,2,,172 m²,210 m²
Full Furnished,"Rp 1,62 Miliar","Rp 1,62 Miliar",,,,94 m²,117 m²
Full Furnished,Rp 460 Juta,"Graha Raya, Tangerang",,,,60 m²,36 m²
Full Furnished,"Rp 1,77 Miliar","Rp 1,77 Miliar",,,,88 m²,120 m²
Full Furnished,"Rp 1,75 Miliar","Rp 1,75 Miliar",3,1,,112 m²,72 m²
Dekat Akses Transportasi,"Rp 1,5 Miliar","Rp 1,5 Miliar",,,,119 m²,180 m²
Full Furnished,"Rp 1,52 Miliar","Rp 1,52 Miliar",,,,78 m²,73 m²
Full Furnished,"Rp 1,22 Miliar","Rp 1,22 Miliar",,,,120 m²,80 m²
Siap Huni,"Rp 1,22 Miliar","Rp 1,22 Miliar",,,,84 m²,62 m²
Full Furnished,Rp 720 Juta,"Gading Serpong, Tangerang",,,,72 m²,36 m²
Full Furnished,"Rp 1,8 Miliar","Rp 1,8 Miliar",,,,84 m²,109 m²
Full Furnished,Rp 970 Juta,"Ciputat, Tangerang Selatan",,,,160 m²,185 m²
Full Furnished,"Rp 1,17 Miliar","Rp 1,17 Miliar",,,,104 m²,102 m²
Full Furnished,"Rp 1,04 Miliar","Rp 1,04 Miliar",,,,60 m²,80 m²
Full Furnished,"Rp 1,82 Miliar","Rp 1,82 Miliar",,,,137 m²,137 m²
Full Furnished,"Rp 1,45 Miliar","Rp 1,45 Miliar",,,,154 m²,120 m²
Dekat Akses Transportasi,"Rp 1,5 Miliar","Rp 1,5 Miliar",,,,98 m²,80 m²
Full Furnished,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,140 m²,103 m²
Full Furnished,"Rp 1,5 Miliar","Rp 1,5 Miliar",,,,120 m²,87 m²
Full Furnished,"Rp 1,04 Miliar","Rp 1,04 Miliar",,,,60 m²,80 m²
Full Furnished,Rp 650 Juta,"Bintaro, Tangerang Selatan",,,,68 m²,45 m²
Dekat Akses Transportasi,"Rp 1,4 Miliar","Rp 1,4 Miliar",3,1,,66 m²,74 m²
Rp 10 Miliar,Rp 10 Miliar,"Bintaro, Tangerang Selatan",4,2,,600 m²,450 m²
Full Furnished,"Rp 1,58 Miliar","Rp 1,58 Miliar",,,,90 m²,126 m²
Dekat Akses Transportasi,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,120 m²,60 m²
Siap Huni,Rp 670 Juta,"Graha Raya, Tangerang",,,,73 m²,91 m²
Full Furnished,"Rp 2,06 Miliar","Rp 2,06 Miliar",,,,169 m²,120 m²
Full Furnished,Rp 910 Juta,"Gading Serpong, Tangerang",,,,174 m²,165 m²
Full Furnished,Rp 620 Juta,"Gading Serpong, Tangerang",,,,60 m²,60 m²
Full Furnished,"Rp 1,65 Miliar","Rp 1,65 Miliar",,,,112 m²,72 m²
Siap Huni,Rp 490 Juta,"Gading Serpong, Tangerang",,,,60 m²,60 m²
Full Furnished,"Rp 1,58 Miliar","Rp 1,58 Miliar",,,,90 m²,126 m²
Full Furnished,"Rp 1,24 Miliar","Rp 1,24 Miliar",,,,110 m²,100 m²
Full Furnished,Rp 7 Miliar,"Gading Serpong, Tangerang",5,1,,270 m²,350 m²
Full Furnished,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,140 m²,103 m²
Full Furnished,"Rp 1,5 Miliar","Rp 1,5 Miliar",,,,120 m²,87 m²
Full Furnished,"Rp 1,75 Miliar","Rp 1,75 Miliar",,,,85 m²,200 m²
Full Furnished,"Rp 1,65 Miliar","Rp 1,65 Miliar",,,,112 m²,72 m²
Full Furnished,Rp 880 Juta,"BSD, Tangerang",2,1,,70 m²,45 m²
Full Furnished,Rp 600 Juta,"BSD, Tangerang",,,,60 m²,60 m²
Full Furnished,"Rp 2,3 Miliar","Rp 2,3 Miliar",,,,135 m²,90 m²
Full Furnished,"Rp 3,02 Miliar","Rp 3,02 Miliar",5,1,,120 m²,145 m²
Siap Huni,"Rp 1,49 Miliar","Rp 1,49 Miliar",,,,90 m²,68 m²
Rp 4 Miliar,Rp 4 Miliar,"Rumah Gading Serpong Luas 121,5m2 Cluster Carson ! Favorit",,,,121 m²,150 m²
"Rp 1,35 Miliar","Rp 1,35 Miliar","Rp 1,35 Miliar",2,2,,80 m²,85 m²
Siap Huni,"Rp 1,85 Miliar","Rp 1,85 Miliar",2,1,,72 m²,125 m²
Dekat Akses Transportasi,"Rp 2,7 Miliar","Rp 2,7 Miliar",4,2,,108 m²,126 m²
Siap Huni,Rp 585 Juta,"Pamulang, Tangerang Selatan",2,2,,72 m²,45 m²
