Add ID,Price,Location,Post Date,Bedrooms,Bathrooms,Land Size,Building Size
925764272,250000000.0,Cipocok Jaya,2024-09-14T06:31:32+0000,2,1,90,45
925752733,350000000.0,Cipocok Jaya,2024-09-14T02:51:15+0000,2,1,100,100
925749658,170000000.0,Rangkasbitung,2024-09-14T01:35:31+0000,2,1,60,36
925730647,166000000.0,Curug,2024-09-13T10:09:22+0000,2,1,60,36
925707400,500000000.0,Cipocok Jaya,2024-09-13T02:17:16+0000,7,2,100,100
925684360,2600000000.0,Rangkasbitung,2024-09-12T08:41:35+0000,4,2,270,160
925662685,550000000.0,Cipocok Jaya,2024-09-12T00:56:20+0000,4,2,72,100
925611701,600000000.0,Cipocok Jaya,2024-09-10T14:45:13+0000,3,1,120,39
925553346,215000000.0,Cipocok Jaya,2024-09-09T06:56:44+0000,3,1,0,100
925545133,160000000.0,Curug,2024-09-09T04:18:35+0000,2,1,60,30
925541733,720000000.0,Rangkasbitung,2024-09-09T03:15:37+0000,2,1,400,200
925541253,65000000.0,Cipocok Jaya,2024-09-09T03:05:45+0000,2,1,60,30
910915100,325000000.0,Rangkasbitung,2024-09-08T11:22:02+0000,2,2,90,60
925488472,450000000.0,Cipocok Jaya,2024-09-07T11:49:44+0000,2,1,72,38
906002881,184000000.0,Cipocok Jaya,2024-09-07T04:42:25+0000,2,1,72,36
923570149,775000000.0,Cipocok Jaya,2024-09-07T02:27:38+0000,4,4,216,245
925456343,100000000.0,Cibadak,2024-09-06T17:54:08+0000,2,1,60,10
923465359,180000000.0,Pamarayan,2024-09-06T11:25:46+0000,2,1,72,72
925429750,399999999.0,Cibadak,2024-09-06T05:48:21+0000,4,3,240,240
925429615,400000000.0,Cipocok Jaya,2024-09-06T05:44:58+0000,2,1,80,101
925423431,500000.0,Cipocok Jaya,2024-09-06T03:28:53+0000,2,1,60,20
925361561,85000000.0,Kalanganyar,2024-09-04T11:40:45+0000,2,1,60,36
925335013,50000000.0,Cipocok Jaya,2024-09-04T02:31:06+0000,2,2,72,60
925334742,325000000.0,Cipocok Jaya,2024-09-04T02:25:34+0000,2,1,84,60
925325969,700000000.0,Cipocok Jaya,2024-09-03T16:25:44+0000,3,3,144,120
925321045,3000000000.0,Rangkasbitung,2024-09-03T13:23:18+0000,4,2,270,160
925312333,300000000.0,Cipocok Jaya,2024-09-03T09:29:56+0000,2,1,60,60
925270147,4800000000.0,Rangkasbitung,2024-09-02T10:32:36+0000,2,4,165,295
925218865,600000000.0,Cipocok Jaya,2024-09-01T05:54:30+0000,3,1,130,96
925209732,300000000.0,Cipocok Jaya,2024-09-01T02:02:45+0000,2,1,72,36
925175388,166000000.0,Cipocok Jaya,2024-08-31T03:51:41+0000,2,1,72,30
900527647,8500000.0,Cipocok Jaya,2024-08-21T02:16:58+0000,2,1,60,60
924501676,85000000.0,Cipocok Jaya,2024-08-14T13:18:36+0000,2,1,60,60
