Add ID,Price,Location,Post Date,Bedrooms,Bathrooms,Land Size,Building Size
926227839,60000000.0,Cipocok Jaya,2024-09-25T11:36:40+0000,2,1,68,36
926221873,1050000.0,Serang,2024-09-25T08:55:16+0000,7,7,515,280
926216875,530000000.0,Serang,2024-09-25T07:04:24+0000,3,2,160,150
926213881,139000000.0,Serang,2024-09-25T05:57:59+0000,2,1,65,60
926201921,700000000.0,Serang,2024-09-25T02:04:36+0000,3,1,135,90
926199534,135000000.0,Serang,2024-09-25T00:34:26+0000,2,2,118,90
926178684,750000000.0,Serang,2024-09-24T08:45:23+0000,2,2,72,140
926177252,600000000.0,Cipocok Jaya,2024-09-24T08:16:09+0000,4,2,108,108
926165008,500000000.0,Serang,2024-09-24T04:14:05+0000,5,3,200,250
926151319,2000000000.0,Serang,2024-09-23T17:24:05+0000,5,5,216,220
926148593,180000000.0,Serang,2024-09-23T14:55:59+0000,2,1,84,36
926133897,1111111.0,Serang,2024-09-23T08:22:40+0000,2,1,60,30
926129506,1000000000.0,Serang,2024-09-23T06:49:10+0000,4,2,150,150
926122515,85000000.0,Serang Kota,2024-09-23T04:28:13+0000,2,1,80,36
926114656,360000000.0,Serang,2024-09-23T01:45:29+0000,2,2,60,120
926107734,400000000.0,Cipocok Jaya,2024-09-22T15:10:04+0000,4,2,100,160
926094134,350000000.0,Cipocok Jaya,2024-09-22T07:50:50+0000,2,2,80,72
926086340,485000000.0,Serang,2024-09-22T04:25:51+0000,2,2,200,60
926084167,220000000.0,Serang,2024-09-22T03:34:33+0000,2,1,72,54
926083080,500000000.0,Serang,2024-09-22T03:11:30+0000,4,2,172,172
926065324,1300000000.0,Serang,2024-09-21T11:00:42+0000,2,2,600,200
926064720,250000000.0,Serang,2024-09-21T10:43:33+0000,2,1,72,72
926060581,285000000.0,Cipocok Jaya,2024-09-21T08:55:18+0000,2,1,60,60
926051226,N/A,Walantaka,2024-09-21T05:23:51+0000,>10,>10,600,1200
926039935,85000000.0,Serang,2024-09-21T01:30:10+0000,2,1,60,30
926038001,450000000.0,Serang,2024-09-21T00:13:40+0000,2,2,90,90
926037487,880000000.0,Serang,2024-09-20T23:47:29+0000,2,1,221,60
926021556,1500000000.0,Serang,2024-09-20T10:30:24+0000,5,3,700,400
926012414,1500000000.0,Serang,2024-09-20T07:28:59+0000,3,2,126,70
926010845,450000000.0,Serang,2024-09-20T07:02:01+0000,2,1,79,36
925989571,1149898989.0,Serang,2024-09-19T16:02:01+0000,4,3,84,121
925970293,350000000.0,Serang,2024-09-19T07:29:10+0000,3,2,245,245
925934661,900000000.0,Cipocok Jaya,2024-09-18T10:50:19+0000,3,1,175,75
925924053,275000000.0,Cipocok Jaya,2024-09-18T06:53:51+0000,2,1,60,60
925918660,480000000.0,Cipocok Jaya,2024-09-18T05:08:23+0000,2,1,72,38
925916418,500000000.0,Serang,2024-09-18T04:25:25+0000,4,1,169,100
925915465,35000000.0,Serang,2024-09-18T04:07:23+0000,2,1,60,30
925905804,230000000.0,Serang,2024-09-17T23:41:36+0000,3,1,114,105
909815636,2800000000.0,Serang,2024-09-17T16:26:13+0000,4,4,96,161
925882152,100000000.0,Serang,2024-09-17T07:45:20+0000,1,1,60,36
925879564,250000000.0,Serang,2024-09-17T06:52:51+0000,2,1,72,60
871190605,725000000.0,Serang,2024-09-17T03:51:37+0000,4,2,216,100
925852313,150000000.0,Serang,2024-09-16T12:51:33+0000,1,1,72,72
925832372,1500000.0,Cipocok Jaya,2024-09-16T03:57:19+0000,4,1,250,200
925816880,350000000.0,Cipocok Jaya,2024-09-15T14:09:16+0000,2,1,72,54
925809454,65000000.0,Serang,2024-09-15T09:44:44+0000,2,1,60,60
925793313,140000000.0,Serang,2024-09-15T02:59:44+0000,2,2,72,55
925792145,270000000.0,Cipocok Jaya,2024-09-15T02:26:42+0000,2,1,84,84
925786175,45000000.0,Serang,2024-09-14T20:11:15+0000,2,1,60,27
925783714,1500000000.0,Cipocok Jaya,2024-09-14T15:59:02+0000,5,3,150,240
925764662,150000000.0,Serang,2024-09-14T06:39:18+0000,1,1,72,72
925764272,250000000.0,Cipocok Jaya,2024-09-14T06:31:32+0000,2,1,90,45
925752733,350000000.0,Cipocok Jaya,2024-09-14T02:51:15+0000,2,1,100,100
925750797,85000000.0,Serang,2024-09-14T02:06:53+0000,2,1,84,38
925738366,465000000.0,Serang,2024-09-13T13:52:50+0000,2,1,90,90
925737848,120000000.0,Serang,2024-09-13T13:38:01+0000,2,1,105,105
925733143,290000000.0,Serang,2024-09-13T11:09:30+0000,2,1,120,62
925707400,500000000.0,Cipocok Jaya,2024-09-13T02:17:16+0000,7,2,100,100
