Add ID,Price,Location,Post Date,Bedrooms,Bathrooms,Land Size,Building Size
926926037,675000000.0,Cipocok Jaya,2024-10-12T12:34:20+0000,3,3,133,100
926925588,325000000.0,Parung Panjang,2024-10-12T12:19:55+0000,2,1,92,92
926923436,100000000.0,Cisoka,2024-10-12T11:10:34+0000,1,1,60,24
926921837,750000000.0,Leuwiliang,2024-10-12T10:21:43+0000,4,3,127,240
926919371,95000000.0,Rangkasbitung,2024-10-12T09:14:58+0000,2,1,72,36
926919076,500000000.0,Tigaraksa,2024-10-12T09:08:28+0000,2,2,72,36
926918751,95000000.0,Parung Panjang,2024-10-12T09:01:28+0000,2,1,60,60
926918520,410000929.0,Cikande,2024-10-12T08:56:07+0000,3,1,89,48
926918116,400123456.0,Cipocok Jaya,2024-10-12T08:46:56+0000,3,1,90,45
926917899,510298899.0,Legok,2024-10-12T08:41:43+0000,2,1,78,44
926917810,499000024.0,Solear,2024-10-12T08:39:13+0000,2,1,77,50
925963006,185000000.0,Cisoka,2024-09-19T05:25:19+0000,2,1,60,28
925781397,125000000.0,Parung Panjang,2024-09-14T14:18:00+0000,1,1,102,27
926917453,600000000.0,Legok,2024-10-12T08:30:55+0000,4,2,72,77
914221913,174000000.0,Legok,2024-10-12T07:38:44+0000,2,1,60,27
926911460,500000000.0,Maja,2024-10-12T06:29:20+0000,2,1,96,42
926903203,2800000.0,Walantaka,2024-10-12T03:46:29+0000,2,1,72,40
926903045,225000000.0,Legok,2024-10-12T03:43:22+0000,2,1,60,60
926899378,225000000.0,Warunggunung,2024-10-12T02:31:47+0000,2,1,500,36
926896958,110000000.0,Rangkasbitung,2024-10-12T01:33:58+0000,3,1,131,131
926896853,65000000.0,Maja,2024-10-12T01:30:50+0000,2,1,60,30
922948435,550000000.0,Balaraja,2024-10-11T22:20:48+0000,2,2,62,70
924998347,385000000.0,Legok,2024-10-11T22:19:26+0000,2,1,60,50
926889114,280000000.0,Tigaraksa,2024-10-11T16:17:12+0000,2,1,60,60
926886900,15000000000.0,Nanggung,2024-10-11T14:44:42+0000,>10,>10,689,948
926882557,500000000.0,Legok,2024-10-11T12:23:51+0000,4,2,72,77
926879557,58000000.0,Tenjo,2024-10-11T11:01:05+0000,3,2,72,55
926879077,80000000.0,Parung Panjang,2024-10-11T10:47:36+0000,2,1,90,30
926876683,300000000.0,Tigaraksa,2024-10-11T09:44:28+0000,4,4,90,120
926874626,43017682.0,Ciampea,2024-10-11T08:54:54+0000,2,1,60,30
926874595,300000000.0,Tigaraksa,2024-10-11T08:54:05+0000,2,2,100,100
926871800,179000000.0,Leuwiliang,2024-10-11T07:54:43+0000,2,1,60,27
926871036,300000000.0,Legok,2024-10-11T07:40:23+0000,4,2,235,145
926868367,280000000.0,Tigaraksa,2024-10-11T06:51:30+0000,2,2,100,100
926865755,300000000.0,Tenjo,2024-10-11T06:04:01+0000,2,2,78,78
926864433,2000000.0,Maja,2024-10-11T05:35:58+0000,2,1,60,27
926864086,39823622.0,Ciampea,2024-10-11T05:29:09+0000,2,1,60,36
926863766,20000000.0,Tenjo,2024-10-11T05:21:40+0000,2,1,90,45
926863498,410438909.0,Cipocok Jaya,2024-10-11T05:14:29+0000,3,1,90,48
926863405,400027900.0,Curug,2024-10-11T05:12:11+0000,3,1,89,49
926862545,300000000.0,Legok,2024-10-11T04:49:50+0000,2,1,60,60
926856650,380000000.0,Legok,2024-10-11T02:47:17+0000,3,2,72,67
